,imdb_title_id,title,tags
7080,tt0044318,Il principe Yanez,"['Action', 'Adventure', 'Drama', 'MehboobKhan', 'R.S.Choudhury', 'S.AliRaza', 'DilipKumar', 'Nimmi', 'PremNath', 'Nadira', 'SheelaNaik', 'Mukri', 'Murad', 'Nilambai', 'Cuckoo', 'Maya', 'Abdul', 'AghaMiraz', 'AmirBanu', 'After', 'ascending', 'to', 'the', 'throne', 'King', 'Shamsher', 'Singh', 'begins', 'a', 'reign', 'of', 'terror', 'and', 'oppression.', 'A', 'young', 'commoner', 'named', 'Jai', 'then', 'decides', 'to', 'challenge', 'the', 'king', 'and', 'kidnaps', 'the', ""king's"", 'sister.']"
7108,tt0044392,Baiju Bawra,"['Drama', 'Musical', 'Romance', 'VijayBhatt', 'R.S.Choudhury', 'R.S.Choudhury', 'MeenaKumari', 'BharatBhushan', 'Surendra', 'KuldipKaur', 'BipinGupta', 'ManmohanKrishna', 'B.M.Vyas', 'Mishra', 'Radhakrishan', 'Kesari', 'RajanHaksar', 'Tabassum', 'RaiMohan', 'Bhagwanji', 'Nadir', 'A', 'young', 'singer', 'in', 'the', 'time', 'of', 'Emperor', 'Akbar', 'the', 'Great', 'sets', 'out', 'to', 'avenge', 'his', 'father', 'killed', 'in', 'a', 'disturbance', 'near', 'the', 'house', 'of', 'a', 'member', 'of', 'the', 'Court.']"
7167,tt0044527,Daag,"['Drama', 'Romance', 'AmiyaChakrabarty', 'RajinderSinghBedi', 'AmiyaChakrabarty', 'DilipKumar', 'Nimmi', 'UshaKiran', 'LalitaPawar', 'KanhaiyalalChaturvedi', 'JawaharKaul', 'LeelaMishra', 'C.S.Dubey', 'Krishnakant', 'LaxmanRao', 'Living', 'a', 'poor', 'lifestyle', 'with', 'his', 'widowed', 'mother', 'Shankar', 'sells', 'toys', 'for', 'a', 'living', 'but', 'is', 'addicted', 'to', 'alcohol.', 'He', 'is', 'attracted', 'to', 'Parvati', 'who', 'also', 'lives', 'a', 'poor', 'lifestyle', 'along', 'with', 'her', '...']"
7242,tt0044761,Jaal,"['Crime', 'Thriller', 'GuruDutt', 'GuruDutt', 'DevAnand', 'GeetaBali', 'K.N.Singh', 'JohnnyWalker', 'RashidKhan', 'Purnima', 'KrishnaKumari', 'RamSingh', 'RajMatwala', 'After', 'losing', 'his', 'vision', 'during', 'a', 'storm', 'Carlos', 'lives', 'with', 'his', 'sister', 'Maria', 'off', 'of', 'the', 'Indian', 'coast', 'in', 'a', 'fishing', 'village.', 'One', 'day', 'a', 'mysterious', 'young', 'woman', 'Lisa', 'enters', 'their', 'lives', '...']"
7306,tt0044952,Nagarik,"['Drama', 'RitwikGhatak', 'RitwikGhatak', 'AjitBanerjee', 'KaliBannerjee', 'GangapadaBasu', 'SatindraBhattacharya', 'UmanathBhattacharya', 'ParijatBose', 'AnilChatterjee', 'KetakiDutta', 'AnilGhosh', 'MumtazAhmedKhan', 'KeshtoMukherjee', 'ShrimanPintoo', 'Prabhadevi', 'SovaSen', 'GeetaShome', 'Ramueldest', 'son', 'a', 'family', 'of', 'migrants', 'to', 'Calcuttais', 'a', 'fresh', 'graduate', 'searching', 'for', 'a', 'job', 'like', 'many', 'others', 'in', 'post-Partition', 'Calcutta.']"
7455,tt0045467,Aah,"['Drama', 'Musical', 'Romance', 'RajaNawathe', 'InderRajAnand', 'InderRajAnand', 'Nargis', 'RajKapoor', 'Vijayalaxmi', 'Pran', 'RameshSinha', 'BhupendraKapoor', 'LeelaMishra', 'RashidKhan', 'Sohanlal', 'Kusum', 'Mukesh', 'Allahabad-based', 'Raj', 'Raibahadur', 'lives', 'a', 'wealthy', 'lifestyle', 'with', 'his', 'widowed', 'businessman', 'dad.', 'His', 'mom', 'had', 'passed', 'away', 'a', 'victim', 'to', 'tuberculosis', 'compelling', 'his', 'anxious', 'dad', 'to', 'keep', 'him', 'away', '...']"
7541,tt0045693,Due ettari di terra,"['Drama', 'BimalRoy', 'SalilChoudhury', 'PaulMahendra', 'BalrajSahni', 'NirupaRoy', 'RattanKumar', 'Murad', 'RajlakshmiDevi', 'NanaPalsikar', 'Noor', 'NasirHussain', 'RekhaMallick', 'Misra', 'Chitra', 'Jagdeep', 'SaritaDevi', 'DilipKumarJr.', 'Tiwari', 'In', 'the', 'hope', 'of', 'earning', 'enough', 'money', 'to', 'pay', 'off', 'his', 'debts', 'and', 'save', 'his', 'land', 'a', 'poor', 'farmer', 'becomes', 'a', 'rickshaw', 'puller', 'in', 'the', 'Calcutta', 'and', 'faces', 'many', 'difficulties.']"
7699,tt0046164,Parineeta,"['Drama', 'Romance', 'BimalRoy', 'MoniBhattacharjee', 'SaratchandraChatterjee', 'AshokKumar', 'MeenaKumari', 'Asitbaran', 'SheilaKashmiri', 'NasirHussain', 'BadriPrasad', 'PratimaDevi', 'RekhaMallick', 'Manju', 'Manorama', 'ShelleyBannerjee', 'Naina', 'Sarita', 'G.Vaid', 'BhupendraKapoor', 'Love', 'blossoms', 'between', 'the', 'son', 'of', 'wealthy', 'man', 'and', 'his', 'middle', 'class', 'neighbor.', 'But', 'their', 'romance', 'is', 'put', 'to', 'the', 'test', 'both', 'by', 'a', 'feud', 'between', 'the', 'families', 'and', 'by', 'the', 'entrance', 'of', 'a', 'rival', 'for', 'the', ""girl's"", 'affection.']"
7750,tt0046304,Sharey Chuattar,"['Comedy', 'Romance', 'Sci-Fi', 'NirmalDey', 'BijonBhattacharya', 'NirmalDey', 'DebenBandopadhyay', 'BhanuBannerjee', 'GurudasBannerjee', 'SitalBannerjee', 'DhananjoyBhattacharya', 'PanchananBhattacharya', 'ParijatBose', 'RebaBose', 'TulsiChakraborty', 'AjitChatterjee', 'MolinaDevi', 'SalilDutta', 'AdityaGhosh', 'BibhutiGupta', 'NabadwipHalder', 'The', 'owner', 'of', 'Annapurna', 'boarding', 'house', 'faces', 'trouble', 'for', 'letting', 'a', 'girl', 'stay', 'at', 'the', 'boys', 'hostel.']"
7852,tt0046673,Aar-Paar,"['Musical', 'Romance', 'Thriller', 'GuruDutt', 'AbrarAlvi', 'NabenduGhosh', 'Shyama', 'GuruDutt', 'JagdishSethi', 'JohnnyWalker', 'Jagdeep', 'Shakila', 'BirSakuja', 'Rajendra', 'AmirBanu', 'RashidKhan', 'M.A.Latif', 'An', 'ex-convict', 'gets', 'a', 'job', 'as', 'a', 'taxi', 'driver', 'to', 'change', 'his', ""girlfriend's"", 'prejudiced', ""father's"", 'view', 'of', 'him', 'and', 'becomes', 'embroiled', 'with', 'a', 'criminal', 'gang', 'in', 'the', 'process.']"
